Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
1.396227940000000,1,N,'0',Write,ACK
1.496450310000000,2,N,4,Write,ACK
1.496679830000000,3,N,0,Write,ACK
1.501438270000000,4,N,4,Write,ACK
1.501667660000000,5,N,0,Write,ACK
1.502052140000000,6,N,4,Write,ACK
1.502281520000000,7,N,0,Write,ACK
1.502670870000000,8,N,$,Write,ACK
1.502900260000000,9,N,' ',Write,ACK
1.503284610000000,10,N,$,Write,ACK
1.503514000000000,11,N,' ',Write,ACK
1.503748450000000,12,N,'132',Write,ACK
1.503977830000000,13,N,'128',Write,ACK
1.504272210000000,14,N,'4',Write,ACK
1.504501600000000,15,N,'0',Write,ACK
1.504736040000000,16,N,'196',Write,ACK
1.504965560000000,17,N,'192',Write,ACK
1.505199940000000,18,N,'4',Write,ACK
1.505429330000000,19,N,'0',Write,ACK
1.505663770000000,20,N,'20',Write,ACK
1.505893160000000,21,N,'16',Write,ACK
1.508142160000000,22,N,'4',Write,ACK
1.508371670000000,23,N,'0',Write,ACK
1.508606120000000,24,N,d,Write,ACK
1.508835640000000,25,N,`,Write,ACK
1.509070080000000,26,N,'0',Write,ACK
1.509299530000000,27,N,'8',Write,ACK
3.509102010000000,28,N,'12',Write,ACK
3.509331520000000,29,N,'8',Write,ACK
3.509566030000000,30,N,COMMA,Write,ACK
3.509795540000000,31,N,(,Write,ACK
3.512049600000000,32,N,-,Write,ACK
3.512278930000000,33,N,),Write,NAK
3.512513440000000,34,N,\r,Write,NAK
3.512742950000000,36,N,\t,Write,Missing ACK/NAK
3.512982400000000,37,N,m,Write,NAK
3.513211910000000,38,N,i,Write,NAK
3.513446420000000,39,N,},Write,NAK
3.513675810000000,40,N,y,Write,NAK
3.513915250000000,41,N,m,Write,ACK
3.514144770000000,42,N,i,Write,NAK
3.514379280000000,43,N,'253',Write,NAK
3.514608790000000,44,N,'249',Write,NAK
3.514848180000000,45,N,},Write,ACK
3.515077560000000,46,N,y,Write,NAK
3.515316940000000,47,N,m,Write,ACK
3.515546330000000,49,N,i,Write,Missing ACK/NAK
3.515785720000000,50,N,},Write,NAK
3.516015100000000,51,N,y,Write,ACK
3.516249550000000,52,N,M,Write,NAK
3.516479060000000,53,N,I,Write,ACK
3.516718510000000,54,N,m,Write,NAK
3.516948020000000,55,N,i,Write,NAK
3.517182470000000,56,N,],Write,NAK
3.517411790000000,57,N,Y,Write,ACK
3.517651240000000,58,N,m,Write,NAK
3.517880750000000,59,N,i,Write,ACK
3.518115200000000,60,N,=,Write,NAK
3.518344710000000,61,N,9,Write,ACK
3.518584100000000,62,N,m,Write,NAK
3.518813480000000,63,N,i,Write,ACK
3.519047930000000,64,N,'141',Write,ACK
3.519277320000000,65,N,'137',Write,NAK
3.519516770000000,66,N,-,Write,NAK
3.519746280000000,67,N,),Write,NAK
3.519980790000000,68,N,\r,Write,NAK
3.520210300000000,69,N,\t,Write,NAK
3.520454370000000,70,N,m,Write,NAK
3.520683760000000,71,N,i,Write,NAK
3.520918210000000,72,N,=,Write,NAK
3.521147720000000,73,N,9,Write,NAK
3.521387100000000,75,N,},Write,Missing ACK/NAK
3.521616610000000,76,N,y,Write,ACK
3.521851070000000,77,N,M,Write,ACK
3.522080450000000,78,N,I,Write,NAK
